trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 0.95}",30,0,-268.9276612,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 5}",0
2,FALSE,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-72.33729068,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
3,FALSE,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-40.09272022,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
4,FALSE,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-177.5444155,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
5,FALSE,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-198.7610157,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
6,FALSE,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-161.9293134,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
7,FALSE,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-12.62660808,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
8,FALSE,"{'a': 0.5, 'e': 0.5999999999999996}",35,6,-14.839378,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 0}",1
9,FALSE,"{'a': 0.5, 'e': 0.5499999999999996}",20,9,-27.17772097,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
10,FALSE,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-13.11179778,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
11,FALSE,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,6.03757669,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,FALSE,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-147.405392,"{0: 25, 1: 5, 2: 1, 3: 1, 4: 3}",0
13,FALSE,"{'a': 0.5, 'e': 0.34999999999999964}",25,1,-81.64162612,"{0: 19, 1: 0, 2: 1, 3: 3, 4: 1}",1
14,FALSE,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-65.86236691,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",0
15,FALSE,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,12.26971014,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,FALSE,"{'a': 0.5, 'e': 0.19999999999999968}",30,3,-54.76319954,"{0: 23, 1: 1, 2: 0, 3: 2, 4: 1}",1
17,FALSE,"{'a': 0.5, 'e': 0.1499999999999997}",25,14,7.789291575,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,FALSE,"{'a': 0.5, 'e': 0.09999999999999969}",20,6,6.280223166,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,FALSE,"{'a': 0.5, 'e': 0.049999999999999684}",20,2,-20.315798,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
20,FALSE,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,14,21.84460614,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,TRUE,"{'a': 0, 'e': 0}",30,24,12.19445333,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,TRUE,"{'a': 0, 'e': 0}",20,7,10.15895672,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,TRUE,"{'a': 0, 'e': 0}",25,0,14.10802776,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
4,TRUE,"{'a': 0, 'e': 0}",20,2,-18.69098305,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,TRUE,"{'a': 0, 'e': 0}",25,13,22.34059877,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,TRUE,"{'a': 0, 'e': 0}",20,10,18.88267091,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,TRUE,"{'a': 0, 'e': 0}",25,0,-5.740043444,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,TRUE,"{'a': 0, 'e': 0}",20,11,15.85172963,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,TRUE,"{'a': 0, 'e': 0}",20,0,17.19725468,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,TRUE,"{'a': 0, 'e': 0}",25,0,-13.36845086,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
