trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 1.0}",20,0,-171.7760020375508,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.05, 'e': 0.951229424500714}",25,0,-50.77326472915144,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",1
3,False,"{'a': 0.05, 'e': 0.9048374180359595}",25,0,-131.13165340789863,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.05, 'e': 0.8607079764250578}",30,0,-185.5469620691593,"{0: 18, 1: 5, 2: 2, 3: 2, 4: 3}",0
5,False,"{'a': 0.05, 'e': 0.8187307530779818}",30,0,-86.1989074999246,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.05, 'e': 0.7788007830714049}",20,0,-100.94519236133925,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.05, 'e': 0.7408182206817179}",25,0,-210.2291991146437,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.05, 'e': 0.7046880897187134}",30,1,-98.52867519050378,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 0}",1
9,False,"{'a': 0.05, 'e': 0.6703200460356393}",20,0,-16.66156184675451,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.05, 'e': 0.6376281516217733}",20,0,-104.27341299917612,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.05, 'e': 0.6065306597126334}",20,0,-57.297891194541975,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.5769498103804866}",25,0,-140.42816344397116,"{0: 17, 1: 3, 2: 0, 3: 3, 4: 2}",0
13,False,"{'a': 0.05, 'e': 0.5488116360940264}",25,0,-57.124967061391544,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.05, 'e': 0.522045776761016}",30,0,-58.84964275261358,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.05, 'e': 0.49658530379140947}",25,2,-1.2512381705276658,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.05, 'e': 0.4723665527410147}",25,1,-81.2128052003716,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 2}",1
