trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.58773670879133,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.54332568598105,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.99284785524551,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.64771287775313,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.58918119762534,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.06716627485676,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-163.35479238344905,"{0: 17, 1: 6, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.59844587782942,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.14312658688115,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.90714192882916,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-238.51841623194733,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.9688704672484,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.12517861140479,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.16797016278227,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.6297585394263,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.27699668953932,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.124268191752,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.32497272796545,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.31049086384598,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,9,-63.916303422470456,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-151.60645063015144,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,4,-132.08226005621455,"{0: 7, 1: 4, 2: 2, 3: 1, 4: 2}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-76.10032928618148,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.950377390883,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-132.34029052504508,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-275.79734129903426,"{0: 12, 1: 3, 2: 11, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.78526107625237,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.6395741193751,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.37204177490844,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-216.2673709223705,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
